Name: 天津卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.99:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 天津卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.136:8144$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 天津卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.104:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 天津卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.47:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 重庆卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.78:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 重庆卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.148:8296$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 重庆卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.143:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 重庆卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.66:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 黑龙江卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.96:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 黑龙江卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.141:8196$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 黑龙江卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.115:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 黑龙江卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.42:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 吉林卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.95:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 吉林卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.153:8200$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 吉林卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.48:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 辽宁卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.69:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 辽宁卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.137:8116$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 辽宁卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.141:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 辽宁卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.60:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 山西卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.71:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 山西卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.155:8172$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 山西卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.51:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 河北卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.77:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 河北卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.150:8292$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 河北卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.140:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 河北卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.50:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 河南卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.74:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 河南卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.140:8128$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 河南卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.144:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 河南卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.44:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 山东卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.97:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 山东卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.138:8148$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 山东卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.105:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 山东卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.64:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 江苏卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.104:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 江苏卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.134:8276$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 江苏卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.106:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 江苏卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.41:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 安徽卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.101:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 安徽卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.135:8272$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 安徽卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.113:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 安徽卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.62:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 浙江卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.100:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 浙江卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.133:8284$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 浙江卫视, URL: http://120.55.49.231:4149/rtp/233.50.200.231:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 浙江卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.100:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 湖北卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.102:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 湖北卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.146:8136$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 湖北卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.114:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 湖北卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.43:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 湖南卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.93:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
